caseDataText,Date,Fips,Forecast,Parish,Parish/County,ParishState,State,vulnerabilityDataText,Week Day,Week1,Cases,CCVI SCORE Higher = More Vulnerable,CumulativeCases,CumulativeDeaths,CurveValue,Deaths,MVulnerability,Number of Records,Status,THEME 1: Socioeconomic Status,THEME 2: Household Composition & Disability,THEME 3:  Minority Status & Language,THEME 4:  Housing Type & Transportation,THEME 5: Epidemiological Factors,THEME 6: Healthcare System Factors,VulnerabilityBin
The New York Times,3/21/2020,22055,Actual Cases,Lafayette,Lafayette | LA,"Lafayette, LA",LA,The COVID-19 Community Vulnerability Index (CCVI),3,12,6,0.557,6,0,6,0,55.7,1,2,0.405,0.172,0.767,0.454,0.527,0.706,Medium
The New York Times,3/22/2020,22055,Actual Cases,Lafayette,Lafayette | LA,"Lafayette, LA",LA,The COVID-19 Community Vulnerability Index (CCVI),3,13,42,0.557,42,0,24,0,55.7,1,2,0.405,0.172,0.767,0.454,0.527,0.706,Medium
The New York Times,3/29/2020,22055,Actual Cases,Lafayette,Lafayette | LA,"Lafayette, LA",LA,The COVID-19 Community Vulnerability Index (CCVI),3,14,228,0.557,228,0,135,0,55.7,1,2,0.405,0.172,0.767,0.454,0.527,0.706,Medium
The New York Times,4/11/2020,22055,Actual Cases,Lafayette,Lafayette | LA,"Lafayette, LA",LA,The COVID-19 Community Vulnerability Index (CCVI),3,15,108,0.557,108,0,168,0,55.7,1,2,0.405,0.172,0.767,0.454,0.527,0.706,Medium
The New York Times,4/16/2020,22055,Actual Cases,Lafayette,Lafayette | LA,"Lafayette, LA",LA,The COVID-19 Community Vulnerability Index (CCVI),3,16,77,0.557,77,0,92,0,55.7,1,2,0.405,0.172,0.767,0.454,0.527,0.706,Medium
The New York Times,4/19/2020,22055,Actual Cases,Lafayette,Lafayette | LA,"Lafayette, LA",LA,The COVID-19 Community Vulnerability Index (CCVI),3,17,28,0.557,28,0,52,0,55.7,1,2,0.405,0.172,0.767,0.454,0.527,0.706,Medium
The New York Times,4/26/2020,22055,Actual Cases,Lafayette,Lafayette | LA,"Lafayette, LA",LA,The COVID-19 Community Vulnerability Index (CCVI),3,18,22,0.557,22,0,25,0,55.7,1,2,0.405,0.172,0.767,0.454,0.527,0.706,Medium
The New York Times,5/3/2020,22055,Actual Cases,Lafayette,Lafayette | LA,"Lafayette, LA",LA,The COVID-19 Community Vulnerability Index (CCVI),3,19,34,0.557,34,0,28,0,55.7,1,2,0.405,0.172,0.767,0.454,0.527,0.706,Medium
The New York Times,5/10/2020,22055,Actual Cases,Lafayette,Lafayette | LA,"Lafayette, LA",LA,The COVID-19 Community Vulnerability Index (CCVI),3,20,80,0.557,80,0,57,0,55.7,1,2,0.405,0.172,0.767,0.454,0.527,0.706,Medium
The New York Times,5/17/2020,22055,Actual Cases,Lafayette,Lafayette | LA,"Lafayette, LA",LA,The COVID-19 Community Vulnerability Index (CCVI),3,21,81,0.557,81,0,80,0,55.7,1,2,0.405,0.172,0.767,0.454,0.527,0.706,Medium
The New York Times,5/24/2020,22055,Actual Cases,Lafayette,Lafayette | LA,"Lafayette, LA",LA,The COVID-19 Community Vulnerability Index (CCVI),3,22,104,0.557,104,0,92,0,55.7,1,2,0.405,0.172,0.767,0.454,0.527,0.706,Medium
The New York Times,5/31/2020,22055,Actual Cases,Lafayette,Lafayette | LA,"Lafayette, LA",LA,The COVID-19 Community Vulnerability Index (CCVI),3,23,103,0.557,103,0,104,0,55.7,1,2,0.405,0.172,0.767,0.454,0.527,0.706,Medium
The New York Times,6/7/2020,22055,Actual Cases,Lafayette,Lafayette | LA,"Lafayette, LA",LA,The COVID-19 Community Vulnerability Index (CCVI),3,24,274,0.557,274,0,188,0,55.7,1,2,0.405,0.172,0.767,0.454,0.527,0.706,Medium
The New York Times,6/14/2020,22055,Actual Cases,Lafayette,Lafayette | LA,"Lafayette, LA",LA,The COVID-19 Community Vulnerability Index (CCVI),3,25,224,0.557,224,0,249,0,55.7,1,2,0.405,0.172,0.767,0.454,0.527,0.706,Medium
The New York Times,6/21/2020,22055,Actual Cases,Lafayette,Lafayette | LA,"Lafayette, LA",LA,The COVID-19 Community Vulnerability Index (CCVI),3,26,498,0.557,498,0,361,0,55.7,1,2,0.405,0.172,0.767,0.454,0.527,0.706,Medium
The New York Times,6/28/2020,22055,Actual Cases,Lafayette,Lafayette | LA,"Lafayette, LA",LA,The COVID-19 Community Vulnerability Index (CCVI),3,27,783,0.557,783,0,640,0,55.7,1,2,0.405,0.172,0.767,0.454,0.527,0.706,Medium
The New York Times,7/6/2020,22055,Actual Cases,Lafayette,Lafayette | LA,"Lafayette, LA",LA,The COVID-19 Community Vulnerability Index (CCVI),3,28,1062,0.557,1062,0,922,0,55.7,1,2,0.405,0.172,0.767,0.454,0.527,0.706,Medium
The New York Times,7/16/2020,22055,Forecasted Cases,Lafayette,Lafayette | LA,"Lafayette, LA",LA,The COVID-19 Community Vulnerability Index (CCVI),3,29,1127,0.557,1127,,,,55.7,1,2,0.405,0.172,0.767,0.454,0.527,0.706,Medium
The New York Times,7/19/2020,22055,Forecasted Cases,Lafayette,Lafayette | LA,"Lafayette, LA",LA,The COVID-19 Community Vulnerability Index (CCVI),3,30,1336,0.557,1336,,,,55.7,1,2,0.405,0.172,0.767,0.454,0.527,0.706,Medium
